,code,name
308,6758,"Sahyadri Valley College of Engineering & Technology, Rajuri, Pune."
309,6759,"Shree Ramchandra College of Engineering, Lonikand,Pune"
310,6762,"Nanasaheb Mahadik College of Engineering,Walwa, Sangli."
311,6766,Phaltan Education Society's College of Engineering Thakurki Tal- Phaltan Dist-Satara
312,6767,"Suman Ramesh Tulsiani Technical Campus Faculty of Engineering, Kamshet,Pune."
313,6768,"P.K. Technical Campus, Pune."
314,6769,"Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus, Warje, Pune."
315,6770,"SKN Sinhgad Institute of Technology & Science, Kusgaon(BK),Pune."
316,6772,"NBN Sinhgad Technical Institutes Campus, Pune"
317,6780,"D.Y.Patil Education Society's,D.Y.Patil Technical Campus, Faculty of Engineering & Faculty of Management,Talsande,Kolhapur."
318,6781,"Bhagwant Institute of Technology, Barshi"
319,6782,"Sahakar Maharshee Shankarrao Mohite Patil Institute of Technology & Research, Akluj"
320,6794,"Anantrao Pawar College of Engineering & Research, Pune"
321,6795,"Shri.Someshwar Shikshan Prasarak Mandal, Sharadchandra Pawar College of Engineering & Technology, Someshwar Nagar"
322,6796,"Bharati Vidyapeeth's College of Engineering,Lavale, Pune"
323,6797,"Dnyanshree Institute Engineering and Technology, Satara"
324,6799,"Shivganga Charitable Trust, Sangli Vishveshwarya Technical Campus, Faculty of Diploma Engineering, Patgaon, Miraj"
325,6802,"Dr. D.Y.Patil Institute of Engineering, Management & Reseach, Akurdi, Pune"
326,6803,"Sant Gajanan Maharaj College of Engineering, Gadhinglaj"
327,6808,"Keystone School of Engineering, Pune"
328,6811,Sanjay Ghodawat Institute
329,6815,"Vidya Prasarini Sabha's College of Engineering & Technology, Lonavala"
330,6822,"Pimpri Chinchwad Education Trust's Pimpri Chinchwad College Of Engineering And Research, Ravet"
331,6834,"Dr.D.Y.Patil College Of Engineering & Innovation,Talegaon"
332,6839,"Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur"
333,6878,"Dr. A. D. Shinde College Of Engineering, Tal.Gadhinglaj, Kolhapur"
334,6901,"MAEER's MIT College of Railway Engineering and Research, Jamgaon, Barshi"
335,6938,Shree Siddheshwar Women's College Of Engineering Solapur.
336,6991,"Dr. D.Y. Patil Technical Campus, Varale, Talegaon, Pune"
